resultId,raceId,driverId,constructorId,num_car,start_pos,final_pos,positionText,positionOrder,points,nbr_laps,time_total,num_fastestLap,rank,fastestLapTime,fastestLapSpeed_km/h,statusId
1,18,1,1,22,1,1,1,1,10.0,58,1.580727,39,2.0,1.457533,351.319795,1
2,18,2,2,3,5,2,2,2,8.0,58,1.582248,41,3.0,1.462317,350.170724,1
3,18,3,3,7,7,3,3,3,6.0,58,1.582994,41,5.0,1.468167,348.775422,1
4,18,4,4,5,11,4,4,4,5.0,58,1.585499,58,7.0,1.476717,346.755696,1
5,18,5,1,23,3,5,5,5,4.0,58,1.585731,43,1.0,1.456967,351.456589,1
6,18,6,3,8,13,6,6,6,3.0,57,,50,14.0,1.493983,342.748429,11
7,18,7,5,14,17,7,7,7,2.0,55,,22,12.0,1.492233,343.150765,5
8,18,8,6,1,15,8,8,8,1.0,53,,20,4.0,1.46505,349.51733,5
9,18,9,2,4,2,,R,9,0.0,47,,15,9.0,1.479217,346.169894,4
10,18,10,7,12,18,,R,10,0.0,43,,23,13.0,1.492633,343.057423,3
11,18,11,8,18,19,,R,11,0.0,32,,24,15.0,1.514867,338.023395,7
12,18,12,4,6,20,,R,12,0.0,30,,20,16.0,1.523067,336.203227,8
13,18,13,6,2,4,,R,13,0.0,29,,23,6.0,1.469583,348.439069,5
14,18,14,9,9,8,,R,14,0.0,25,,21,11.0,1.4917,343.273075,4
15,18,15,7,11,6,,R,15,0.0,19,,18,10.0,1.4885,344.010155,10
16,18,16,10,20,22,,R,16,0.0,8,,8,17.0,1.533683,333.876116,9
17,18,17,9,10,14,,R,17,0.0,0,,,,,,4
18,18,18,11,16,12,,R,18,0.0,0,,,,,,4
19,18,19,8,19,21,,R,19,0.0,0,,,,,,4
20,18,20,5,15,9,,R,20,0.0,0,,,,,,4
21,18,21,10,21,16,,R,21,0.0,0,,,,,,4
22,18,22,11,17,10,,D,22,0.0,58,,44,8.0,1.478933,346.235878,2
23,19,8,6,1,2,1,1,1,10.0,56,1.521821,37,2.0,1.590083,336.607172,1
24,19,9,2,4,4,2,2,2,8.0,56,1.527257,39,6.0,1.598683,334.79666,1
25,19,5,1,23,8,3,3,3,6.0,56,1.532501,19,7.0,1.5987,334.793442,1
26,19,15,7,11,3,4,4,4,5.0,56,1.534552,53,8.0,1.601133,334.284889,1
27,19,1,1,22,9,5,5,5,4.0,56,1.534751,53,3.0,1.591033,336.406004,1
28,19,2,2,3,5,6,6,6,3.0,56,1.535663,55,1.0,1.589433,336.745576,1
29,19,17,9,10,6,7,7,7,2.0,56,1.540746,53,12.0,1.6116,332.113884,1
30,19,4,4,5,7,8,8,8,1.0,56,1.541277,40,10.0,1.6048,333.520451,1
31,19,14,9,9,12,9,9,9,0.0,56,1.542993,55,9.0,1.603433,333.805304,1
32,19,18,11,16,11,10,10,10,0.0,56,1.545769,56,4.0,1.59525,335.517646,1
33,19,12,4,6,13,11,11,11,0.0,56,1.547432,52,15.0,1.615933,331.222307,1
34,19,21,10,21,17,12,12,12,0.0,55,,52,16.0,1.616033,331.202995,11
35,19,22,11,17,14,13,13,13,0.0,55,,55,11.0,1.61155,332.12354,11
36,19,3,3,7,16,14,14,14,0.0,55,,55,13.0,1.613033,331.817765,11
37,19,19,8,19,21,15,15,15,0.0,55,,55,18.0,1.636183,327.123308,11
38,19,11,8,18,19,16,16,16,0.0,54,,53,19.0,1.641733,326.017689,12
39,19,6,3,8,22,17,17,17,0.0,54,,19,17.0,1.628517,328.66345,12
40,19,20,5,15,15,,R,18,0.0,39,,37,14.0,1.6145,331.516817,5
41,19,13,6,2,1,,R,19,0.0,30,,15,5.0,1.598567,334.820801,20
42,19,16,10,20,20,,R,20,0.0,5,,3,20.0,1.672167,320.084038,9
43,19,10,7,12,10,,R,21,0.0,1,,,,,,4
44,19,7,5,14,18,,R,22,0.0,0,,,,,,20
45,20,13,6,2,2,1,1,1,10.0,57,1.518603,38,3.0,1.56,334.989782,1
46,20,8,6,1,4,2,2,2,8.0,57,1.51953,35,4.0,1.561817,334.60032,1
47,20,9,2,4,1,3,3,3,6.0,57,1.519991,55,5.0,1.562917,334.365356,1
48,20,2,2,3,6,4,4,4,5.0,57,1.520939,48,2.0,1.559417,335.11531,1
49,20,5,1,23,5,5,5,5,4.0,57,1.526044,49,1.0,1.553217,336.452675,1
50,20,15,7,11,7,6,6,6,3.0,57,1.530079,45,7.0,1.570067,332.842917,1
51,20,17,9,10,11,7,7,7,2.0,57,1.531234,51,8.0,1.57175,332.485642,1
52,20,3,3,7,8,8,8,8,1.0,57,1.534128,57,6.0,1.567867,333.309626,1
53,20,10,7,12,13,9,9,9,0.0,57,1.537908,56,9.0,1.580117,330.72502,1
54,20,4,4,5,10,10,10,10,0.0,57,1.540042,35,13.0,1.586567,329.381218,1
55,20,22,11,17,12,11,11,11,0.0,57,1.540231,40,10.0,1.580917,330.557648,1
56,20,21,10,21,18,12,12,12,0.0,56,,56,11.0,1.584283,329.855974,11
57,20,1,1,22,3,13,13,13,0.0,56,,25,19.0,1.592,328.256286,11
58,20,6,3,8,16,14,14,14,0.0,56,,30,17.0,1.59055,328.555624,11
59,20,7,5,14,15,15,15,15,0.0,56,,33,15.0,1.588883,328.900024,11
60,20,19,8,19,21,16,16,16,0.0,56,,45,14.0,1.588733,328.932211,11
